1,3015.04
2,104.647
3,65.5927
4,16.7684
5,9.92434
6,6.3368
7,4.10323
8,2.50191
9,2.1816
10,1.91978
11,1.38394
12,1.15388
13,1.02549
14,0.994836
15,0.871269
16,0.819393
17,0.742435
18,0.685258
19,0.627377
20,0.607419
21,0.585025
22,0.519298
23,0.492307
24,0.459208
25,0.423575
26,0.402649
27,0.36863
28,0.342275
29,0.328659
30,0.314581
31,0.282152
32,0.269562
33,0.265521
34,0.255774
35,0.232769
36,0.224623
37,0.208705
38,0.173441
39,0.172148
40,0.159333
41,0.144937
42,0.139018
43,0.1335
44,0.12612
45,0.111007
46,0.109431
47,0.100254
48,0.0932766
49,0.0865681
50,0.0682743
51,0.0613558
52,0.0563453
53,0.0537711
54,0.0500841
55,0.0380819
56,4.0208e-08
